0.04, 30, -0.01572487
0.04, 50, 0.03253333
0.04, 75, 0.03950265
0.04, 100, -0.002898707
0.04, 150, -0.0286968
0.05, 30, -0.01255524
0.05, 50, 0.03050048
0.05, 75, 0.1271275
0.05, 100, 0.05915717
0.05, 150, -0.01286545
0.06, 30, -0.01147413
0.06, 50, 0.0457201
0.06, 75, 0.1539844
0.06, 100, 0.1472841
0.06, 150, 0.0272213
0.08, 30, -0.009350357
0.08, 50, 0.06841349
0.08, 75, 0.2043934
0.08, 100, 0.2972245
0.08, 150, 0.13682
0.12, 30, -0.01294983
0.12, 50, 0.08232128
0.12, 75, 0.2417983
0.12, 100, 0.4127921
0.12, 150, 0.3615336
